locustag;genename;annotation;KEGG Orthology;database;MainCategory;MainPathway;Category;undefined;Pathway;Complex/Type;Details;Summary
slr1705;aspA;"slr1705 aspA; aspartoacylase, ASP";"K01437 ASPA; aspartoacylase [EC:3.5.1.15]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00340;Amino acid metabolism;Histidine metabolism;;Metabolism - Amino acid metabolism - Histidine metabolism
slr1756;glnA;"slr1756 glnA; glutamate--ammonia ligase";"K01915 glnA; glutamine synthetase [EC:6.3.1.2]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00250;Amino acid metabolism;Alanine aspartate and glutamate metabolism;;Metabolism - Amino acid metabolism - Alanine aspartate and glutamate metabolism
slr1756;glnA;"slr1756 glnA; glutamate--ammonia ligase";"K01915 glnA; glutamine synthetase [EC:6.3.1.2]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00220;Amino acid metabolism;Arginine biosynthesis;;Metabolism - Amino acid metabolism - Arginine biosynthesis
slr1840;;slr1840 hypothetical protein;"K00865 glxK; glycerate 2-kinase [EC:2.7.1.165]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00260;Amino acid metabolism;Glycine serine and threonine metabolism;;Metabolism - Amino acid metabolism - Glycine serine and threonine metabolism
slr1842;cysK;"slr1842 cysK; cysteine synthase";"K01738 cysK; cysteine synthase [EC:2.5.1.47]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00270;Amino acid metabolism;Cysteine and methionine metabolism;;Metabolism - Amino acid metabolism - Cysteine and methionine metabolism
slr1848;hisD;"slr1848 hisD; histidinol dehydrogenase";"K00013 hisD; histidinol dehydrogenase [EC:1.1.1.23]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00340;Amino acid metabolism;Histidine metabolism;;Metabolism - Amino acid metabolism - Histidine metabolism
slr1867;trpD;"slr1867 trpD; anthranilate phosphoribosyltransferase";"K00766 trpD; anthranilate phosphoribosyltransferase [EC:2.4.2.18]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00400;Amino acid metabolism;Phenylalanine tyrosine and tryptophan biosynthesis;;Metabolism - Amino acid metabolism - Phenylalanine tyrosine and tryptophan biosynthesis
slr1898;argB;"slr1898 argB; N-acetylglutamate kinase";"K00930 argB; acetylglutamate kinase [EC:2.7.2.8]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00220;Amino acid metabolism;Arginine biosynthesis;;Metabolism - Amino acid metabolism - Arginine biosynthesis
slr1938;mtnA;slr1938 hypothetical protein;"K08963 mtnA; methylthioribose-1-phosphate isomerase [EC:5.3.1.23]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00270;Amino acid metabolism;Cysteine and methionine metabolism;;Metabolism - Amino acid metabolism - Cysteine and methionine metabolism
slr1945;yibO;"slr1945 yibO; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase";"K15633 gpmI; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00260;Amino acid metabolism;Glycine serine and threonine metabolism;;Metabolism - Amino acid metabolism - Glycine serine and threonine metabolism
slr1993;phaA;"slr1993 thl; acetyl coenzyme A acetyltransferase (thiolase)";"K00626 E2.3.1.9; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00310;Amino acid metabolism;Lysine degradation;;Metabolism - Amino acid metabolism - Lysine degradation
slr1993;phaA;"slr1993 thl; acetyl coenzyme A acetyltransferase (thiolase)";"K00626 E2.3.1.9; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00380;Amino acid metabolism;Tryptophan metabolism;;Metabolism - Amino acid metabolism - Tryptophan metabolism
slr1993;phaA;"slr1993 thl; acetyl coenzyme A acetyltransferase (thiolase)";"K00626 E2.3.1.9; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00280;Amino acid metabolism;Valine leucine and isoleucine degradation;;Metabolism - Amino acid metabolism - Valine leucine and isoleucine degradation
slr2035;proB;"slr2035 proB; glutamate 5-kinase";"K00931 proB; glutamate 5-kinase [EC:2.7.2.11]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00330;Amino acid metabolism;Arginine and proline metabolism;;Metabolism - Amino acid metabolism - Arginine and proline metabolism
slr2059;NA;slr2059 ferredoxin;"K23976 K23976; L-aspartate semialdehyde sulfurtransferase ferredoxin";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00270;Amino acid metabolism;Cysteine and methionine metabolism;;Metabolism - Amino acid metabolism - Cysteine and methionine metabolism
slr2072;ilvA;"slr2072 ilvA; L-threonine deaminase";"K01754 E4.3.1.19; threonine dehydratase [EC:4.3.1.19]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00260;Amino acid metabolism;Glycine serine and threonine metabolism;;Metabolism - Amino acid metabolism - Glycine serine and threonine metabolism
slr2072;ilvA;"slr2072 ilvA; L-threonine deaminase";"K01754 E4.3.1.19; threonine dehydratase [EC:4.3.1.19]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00290;Amino acid metabolism;Valine leucine and isoleucine biosynthesis;;Metabolism - Amino acid metabolism - Valine leucine and isoleucine biosynthesis
slr2079;glsA;slr2079 unknown protein;"K01425 glsA; glutaminase [EC:3.5.1.2]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00250;Amino acid metabolism;Alanine aspartate and glutamate metabolism;;Metabolism - Amino acid metabolism - Alanine aspartate and glutamate metabolism
slr2079;glsA;slr2079 unknown protein;"K01425 glsA; glutaminase [EC:3.5.1.2]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00220;Amino acid metabolism;Arginine biosynthesis;;Metabolism - Amino acid metabolism - Arginine biosynthesis
slr2081;tyrA;"slr2081 tyrA; prephenate dehydrogenase";"K15226 tyrAa; arogenate dehydrogenase (NADP+) [EC:1.3.1.78]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00400;Amino acid metabolism;Phenylalanine tyrosine and tryptophan biosynthesis;;Metabolism - Amino acid metabolism - Phenylalanine tyrosine and tryptophan biosynthesis
slr2088;ilvG;"slr2088 ilvG; acetohydroxy acid synthase";"K01652 E2.2.1.6L; acetolactate synthase I/II/III large subunit [EC:2.2.1.6]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00290;Amino acid metabolism;Valine leucine and isoleucine biosynthesis;;Metabolism - Amino acid metabolism - Valine leucine and isoleucine biosynthesis
slr2121;Not in dataset;slr2121 hypothetical protein;"K07130 kynB; arylformamidase [EC:3.5.1.9]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00380;Amino acid metabolism;Tryptophan metabolism;;Metabolism - Amino acid metabolism - Tryptophan metabolism
slr2130;aroB;"slr2130 aroB; 3-dehydroquinate synthase";"K01735 aroB; 3-dehydroquinate synthase [EC:4.2.3.4]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00400;Amino acid metabolism;Phenylalanine tyrosine and tryptophan biosynthesis;;Metabolism - Amino acid metabolism - Phenylalanine tyrosine and tryptophan biosynthesis
sll0207;rfbA;"sll0207 rfbA; glucose-1-phosphate thymidylyltransferase";"K00973 rfbA; glucose-1-phosphate thymidylyltransferase [EC:2.7.7.24]";syn00001 KEGG Orthology;Metabolism;Biosynthesis of other secondary metabolites;Metabolism;PATH:syn00525;Biosynthesis of other secondary metabolites;Acarbose and validamycin biosynthesis;;Metabolism - Biosynthesis of other secondary metabolites - Acarbose and validamycin biosynthesis
sll0207;rfbA;"sll0207 rfbA; glucose-1-phosphate thymidylyltransferase";"K00973 rfbA; glucose-1-phosphate thymidylyltransferase [EC:2.7.7.24]";syn00001 KEGG Orthology;Metabolism;Biosynthesis of other secondary metabolites;Metabolism;PATH:syn00521;Biosynthesis of other secondary metabolites;Streptomycin biosynthesis;;Metabolism - Biosynthesis of other secondary metabolites - Streptomycin biosynthesis
sll0373;proA;"sll0373 proA; gamma-glutamyl phosphate reductase";"K00147 proA; glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]";syn00001 KEGG Orthology;Metabolism;Biosynthesis of other secondary metabolites;Metabolism;PATH:syn00332;Biosynthesis of other secondary metabolites;Carbapenem biosynthesis;;Metabolism - Biosynthesis of other secondary metabolites - Carbapenem biosynthesis
sll0402;aspC;"sll0402 aspC; aspartate aminotransferase";"K00812 aspB; aspartate aminotransferase [EC:2.6.1.1]";syn00001 KEGG Orthology;Metabolism;Biosynthesis of other secondary metabolites;Metabolism;PATH:syn00401;Biosynthesis of other secondary metabolites;Novobiocin biosynthesis;;Metabolism - Biosynthesis of other secondary metabolites - Novobiocin biosynthesis
sll0461;proA;"sll0461 proA; gamma-glutamyl phosphate reductase";"K00147 proA; glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]";syn00001 KEGG Orthology;Metabolism;Biosynthesis of other secondary metabolites;Metabolism;PATH:syn00332;Biosynthesis of other secondary metabolites;Carbapenem biosynthesis;;Metabolism - Biosynthesis of other secondary metabolites - Carbapenem biosynthesis
sll0593;glk;"sll0593 glk; glucokinase";"K00845 glk; glucokinase [EC:2.7.1.2]";syn00001 KEGG Orthology;Metabolism;Biosynthesis of other secondary metabolites;Metabolism;Neomycin kanamycin and gentamicin biosynthesis;Biosynthesis of other secondary metabolites;Neomycin kanamycin and gentamicin biosynthesis;;Metabolism - Biosynthesis of other secondary metabolites - Neomycin kanamycin and gentamicin biosynthesis
sll0593;glk;"sll0593 glk; glucokinase";"K00845 glk; glucokinase [EC:2.7.1.2]";syn00001 KEGG Orthology;Metabolism;Biosynthesis of other secondary metabolites;Metabolism;PATH:syn00521;Biosynthesis of other secondary metabolites;Streptomycin biosynthesis;;Metabolism - Biosynthesis of other secondary metabolites - Streptomycin biosynthesis
sll0726;pgm;"sll0726 pgm; phosphoglucomutase";"K01835 pgm; phosphoglucomutase [EC:5.4.2.2]";syn00001 KEGG Orthology;Metabolism;Biosynthesis of other secondary metabolites;Metabolism;PATH:syn00521;Biosynthesis of other secondary metabolites;Streptomycin biosynthesis;;Metabolism - Biosynthesis of other secondary metabolites - Streptomycin biosynthesis
sll1058;dapB;"sll1058 dapB; dihydrodipicolinate reductase";"K00215 dapB; 4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]";syn00001 KEGG Orthology;Metabolism;Biosynthesis of other secondary metabolites;Metabolism;PATH:syn00261;Biosynthesis of other secondary metabolites;Monobactam biosynthesis;;Metabolism - Biosynthesis of other secondary metabolites - Monobactam biosynthesis
sll1329;NA;sll1329 monophosphatase;"K01092 E3.1.3.25; myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25]";syn00001 KEGG Orthology;Metabolism;Biosynthesis of other secondary metabolites;Metabolism;PATH:syn00521;Biosynthesis of other secondary metabolites;Streptomycin biosynthesis;;Metabolism - Biosynthesis of other secondary metabolites - Streptomycin biosynthesis
sll1383;NA;"sll1383 suhB; extragenic suppressor; SuhB";"K01092 E3.1.3.25; myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25]";syn00001 KEGG Orthology;Metabolism;Biosynthesis of other secondary metabolites;Metabolism;PATH:syn00521;Biosynthesis of other secondary metabolites;Streptomycin biosynthesis;;Metabolism - Biosynthesis of other secondary metabolites - Streptomycin biosynthesis
sll1395;rfbD;"sll1395 rfbD; dTDP-6-deoxy-L-mannose-dehydrogenase";"K00067 rfbD; dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]";syn00001 KEGG Orthology;Metabolism;Biosynthesis of other secondary metabolites;Metabolism;PATH:syn00521;Biosynthesis of other secondary metabolites;Streptomycin biosynthesis;;Metabolism - Biosynthesis of other secondary metabolites - Streptomycin biosynthesis
sll1958;hisC;"sll1958 hisC; histidinol phosphate aminotransferase";"K00817 hisC; histidinol-phosphate aminotransferase [EC:2.6.1.9]";syn00001 KEGG Orthology;Metabolism;Biosynthesis of other secondary metabolites;Metabolism;PATH:syn00401;Biosynthesis of other secondary metabolites;Novobiocin biosynthesis;;Metabolism - Biosynthesis of other secondary metabolites - Novobiocin biosynthesis
sll5079;NA;sll5079 probable short chain dehydrogenase;"K00059 fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]";syn00001 KEGG Orthology;Metabolism;Biosynthesis of other secondary metabolites;Metabolism;Prodigiosin biosynthesis;Biosynthesis of other secondary metabolites;Prodigiosin biosynthesis;;Metabolism - Biosynthesis of other secondary metabolites - Prodigiosin biosynthesis
slr0055;trpG;"slr0055 trpG; anthranilate synthase component II";"K01658 trpG; anthranilate synthase component II [EC:4.1.3.27]";syn00001 KEGG Orthology;Metabolism;Biosynthesis of other secondary metabolites;Metabolism;PATH:syn00405;Biosynthesis of other secondary metabolites;Phenazine biosynthesis;;Metabolism - Biosynthesis of other secondary metabolites - Phenazine biosynthesis
slr0121;NA;slr0121 unknown protein;"K17836 penP; beta-lactamase class A [EC:3.5.2.6]";syn00001 KEGG Orthology;Metabolism;Biosynthesis of other secondary metabolites;Metabolism;Penicillin and cephalosporin biosynthesis;Biosynthesis of other secondary metabolites;Penicillin and cephalosporin biosynthesis;;Metabolism - Biosynthesis of other secondary metabolites - Penicillin and cephalosporin biosynthesis
slr0329;xylR;"slr0329 xylR; xylose repressor";"K00845 glk; glucokinase [EC:2.7.1.2]";syn00001 KEGG Orthology;Metabolism;Biosynthesis of other secondary metabolites;Metabolism;Neomycin kanamycin and gentamicin biosynthesis;Biosynthesis of other secondary metabolites;Neomycin kanamycin and gentamicin biosynthesis;;Metabolism - Biosynthesis of other secondary metabolites - Neomycin kanamycin and gentamicin biosynthesis
slr0329;xylR;"slr0329 xylR; xylose repressor";"K00845 glk; glucokinase [EC:2.7.1.2]";syn00001 KEGG Orthology;Metabolism;Biosynthesis of other secondary metabolites;Metabolism;PATH:syn00521;Biosynthesis of other secondary metabolites;Streptomycin biosynthesis;;Metabolism - Biosynthesis of other secondary metabolites - Streptomycin biosynthesis
slr0549;asd;"slr0549 asd; aspartate beta-semialdehyde dehydrogenese";"K00133 asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]";syn00001 KEGG Orthology;Metabolism;Biosynthesis of other secondary metabolites;Metabolism;PATH:syn00261;Biosynthesis of other secondary metabolites;Monobactam biosynthesis;;Metabolism - Biosynthesis of other secondary metabolites - Monobactam biosynthesis
slr0550;dapA;"slr0550 dapA; dihydrodipicolinate synthase";"K01714 dapA; 4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7]";syn00001 KEGG Orthology;Metabolism;Biosynthesis of other secondary metabolites;Metabolism;PATH:syn00261;Biosynthesis of other secondary metabolites;Monobactam biosynthesis;;Metabolism - Biosynthesis of other secondary metabolites - Monobactam biosynthesis
slr0657;lysC;"slr0657 lysC; aspartate kinase";"K00928 lysC; aspartate kinase [EC:2.7.2.4]";syn00001 KEGG Orthology;Metabolism;Biosynthesis of other secondary metabolites;Metabolism;PATH:syn00261;Biosynthesis of other secondary metabolites;Monobactam biosynthesis;;Metabolism - Biosynthesis of other secondary metabolites - Monobactam biosynthesis
slr0738;trpE;"slr0738 trpE; anthranilate synthetase alpha-subunit";"K01657 trpE; anthranilate synthase component I [EC:4.1.3.27]";syn00001 KEGG Orthology;Metabolism;Biosynthesis of other secondary metabolites;Metabolism;PATH:syn00405;Biosynthesis of other secondary metabolites;Phenazine biosynthesis;;Metabolism - Biosynthesis of other secondary metabolites - Phenazine biosynthesis
slr0836;rfbB;"slr0836 rfbB; dTDP-glucose 4,6-dehydratase";"K01710 rfbB; dTDP-glucose 4,6-dehydratase [EC:4.2.1.46]";syn00001 KEGG Orthology;Metabolism;Biosynthesis of other secondary metabolites;Metabolism;PATH:syn00525;Biosynthesis of other secondary metabolites;Acarbose and validamycin biosynthesis;;Metabolism - Biosynthesis of other secondary metabolites - Acarbose and validamycin biosynthesis
slr0836;rfbB;"slr0836 rfbB; dTDP-glucose 4,6-dehydratase";"K01710 rfbB; dTDP-glucose 4,6-dehydratase [EC:4.2.1.46]";syn00001 KEGG Orthology;Metabolism;Biosynthesis of other secondary metabolites;Metabolism;PATH:syn00521;Biosynthesis of other secondary metabolites;Streptomycin biosynthesis;;Metabolism - Biosynthesis of other secondary metabolites - Streptomycin biosynthesis
slr0886;fabG;"slr0886 fabG; 3-oxoacyl-[acyl-carrier protein] reductase";"K00059 fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]";syn00001 KEGG Orthology;Metabolism;Biosynthesis of other secondary metabolites;Metabolism;Prodigiosin biosynthesis;Biosynthesis of other secondary metabolites;Prodigiosin biosynthesis;;Metabolism - Biosynthesis of other secondary metabolites - Prodigiosin biosynthesis
slr0985;rfbC;"slr0985 rfbC; dTDP-6-deoxy-L-mannose-dehydrogenase";"K01790 rfbC; dTDP-4-dehydrorhamnose 3,5-epimerase [EC:5.1.3.13]";syn00001 KEGG Orthology;Metabolism;Biosynthesis of other secondary metabolites;Metabolism;PATH:syn00521;Biosynthesis of other secondary metabolites;Streptomycin biosynthesis;;Metabolism - Biosynthesis of other secondary metabolites - Streptomycin biosynthesis
slr1019;NA;slr1019 hypothetical protein;"K06998 phzF; trans-2,3-dihydro-3-hydroxyanthranilate isomerase [EC:5.3.3.17]";syn00001 KEGG Orthology;Metabolism;Biosynthesis of other secondary metabolites;Metabolism;PATH:syn00405;Biosynthesis of other secondary metabolites;Phenazine biosynthesis;;Metabolism - Biosynthesis of other secondary metabolites - Phenazine biosynthesis
slr1051;envM;"slr1051 envM; enoyl-[acyl-carrier-protein] reductase";"K00208 fabI; enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]";syn00001 KEGG Orthology;Metabolism;Biosynthesis of other secondary metabolites;Metabolism;Prodigiosin biosynthesis;Biosynthesis of other secondary metabolites;Prodigiosin biosynthesis;;Metabolism - Biosynthesis of other secondary metabolites - Prodigiosin biosynthesis
slr1165;sat;"slr1165 met3; sulfate adenylyltransferase";"K00958 sat; sulfate adenylyltransferase [EC:2.7.7.4]";syn00001 KEGG Orthology;Metabolism;Biosynthesis of other secondary metabolites;Metabolism;PATH:syn00261;Biosynthesis of other secondary metabolites;Monobactam biosynthesis;;Metabolism - Biosynthesis of other secondary metabolites - Monobactam biosynthesis
